id_prob;grupo;categoria;desc_prob;razoes_prob;solucoes_prob
1;Comportamento dos Alunos;Absenteísmo e Atrasos;Alunos faltam às aulas frequentemente.;Percepção de que o conteúdo da aula apenas replica as leituras obrigatórias de forma monótona.;"Estruturar dinâmicas participativas inovadoras na primeira metade da aula; criar problemas práticos inéditos resolvidos estritamente em equipe presencial."
2;Comportamento dos Alunos;Absenteísmo e Atrasos;Alunos faltam às aulas frequentemente.;Clima de sala de aula frio ou impessoal, gerando baixo senso de pertencimento e responsabilidade comunitária.;"Adotar dinâmicas de quebra-gelo rápidas nos primeiros minutos; memorizar os nomes dos alunos e estabelecer checagens de bem-estar regulares."
3;Comportamento dos Alunos;Absenteísmo e Atrasos;Alunos chegam atrasados sistematicamente interrompendo o fluxo.;Ausência de consequências claras ou falta de combinados explícitos sobre o impacto do atraso na dinâmica coletiva.;Instituir um 'rito de abertura' fixo e valioso nos primeiros 5 minutos (ex: quiz formativo rápido ou insights do mercado que pontuam).
4;Comportamento dos Alunos;Uso de Tecnologia;Alunos usam smartphones ou notebooks para fins não acadêmicos durante a aula.;Aulas puramente expositivas com ritmo letárgico ou intervalos de inatividade cognitiva muito longos.;"Implementar picos de interatividade a cada 15-20 minutos usando metodologias ativas; propor desafios rápidos que exijam resposta imediata."
5;Comportamento dos Alunos;Uso de Tecnologia;Alunos usam smartphones ou notebooks para fins não acadêmicos durante a aula.;Falta de diretrizes explícitas sobre quando o uso de tecnologia atua como aliado ou como elemento disruptivo.;Criar combinados de convivência digital coletiva (ex: 'janelas abertas' para pesquisa ativa vs. 'telas fechadas' para debates conceituais).
6;Comportamento dos Alunos;Insubordinação e Conflitos;Alunos desafiam abertamente a autoridade do professor ou as regras do curso.;Frustração acumulada com critérios de avaliação percebidos como injustos, ambíguos ou excessivamente punitivos.;"Publicar rubricas de avaliação extremamente detalhadas e transparentes; abrir canais formais para pedidos de revisão justificados."
7;Comportamento dos Alunos;Insubordinação e Conflitos;Alunos desafiam abertamente a autoridade do professor ou as regras do curso.;Necessidade de validação social perante o grupo ou problemas interpessoais/emocionais externos não mapeados.;"Evitar confrontos diretos em público; pausar a discussão de forma neutra e convidar o estudante para uma conversa privada acolhedora."
8;Participação e Engajamento;Silêncio nas Discussões;Alunos não participam ou permanecem em silêncio absoluto durante debates.;Medo do julgamento negativo dos pares ou ansiedade social crônica de errar publicamente.;Utilizar a técnica 'Think-Pair-Share' (Pensar individualmente, debater em duplas e depois compartilhar com o grande grupo).
9;Participação e Engajamento;Silêncio nas Discussões;Alunos não participam ou permanecem em silêncio absoluto durante debates.;Perguntas feitas pelo professor são excessivamente abstratas, genéricas, amplas ou intimidadoras.;Fracionar grandes questionamentos em perguntas concretas, baseadas em cenários reais cotidianos de simulação prática.
10;Participação e Engajamento;Falta de Preparação;Alunos não realizam as leituras prévias ou tarefas recomendadas.;Sobrecarga crônica de entregas acadêmicas paralelas ou incapacidade crônica de gerenciar o tempo de estudo.;"Segmentar leituras extensas em porções críticas menores; fornecer um guia de leitura focando nas 3 principais perguntas-chave."
11;Participação e Engajamento;Falta de Preparação;Alunos não realizam as leituras prévias ou tarefas recomendadas.;Percepção de que a leitura prévia é opcional, pois o professor revisará todo o conteúdo em slides expositivos de qualquer forma.;"Interromper a recapitulação expositiva integral; iniciar a aula diretamente aplicando um caso prático que dependa estritamente da leitura."
12;Participação e Engajamento;Apatia e Desinteresse;Alunos demonstram apatia geral com o tema ou com a utilidade da disciplina.;Inabilidade severa de conectar conceitos teóricos puros com a prática de mercado ou objetivos futuros de carreira.;Substituir exemplos abstratos por desafios corporativos atuais (estudos de caso vivos, problemas reais de empresas locais ou ESG).
13;Participação e Engajamento;Apatia e Desinteresse;Alunos demonstram apatia geral com o tema ou com a utilidade da disciplina.;Falta crônica de autonomia e agência dos estudantes sobre suas próprias trilhas e tópicos de exploração.;Permitir que os grupos escolham qual problema real ou setor de mercado desejam focar em seus projetos práticos semestrais.
14;Desempenho e Avaliação;Baixo Rendimento em Testes;Alunos apresentam notas muito baixas em exames formais e testes teóricos.;Desalinhamento instrucional grave: as aulas focam em memorização/fatos, mas a prova cobra análise crítica profunda/aplicação.;Garantir o alinhamento construtivo: revisar as questões da prova para que espelhem fielmente o nível taxonômico exercitado em sala.
15;Desempenho e Avaliação;Baixo Rendimento em Testes;Alunos apresentam notas muito baixas em exames formais e testes teóricos.;Ausência de rotinas de avaliação formativa intermediária, fazendo com que descubram suas lacunas apenas no exame final formativo.;Injetar pequenas avaliações formativas semanais sem peso punitivo de nota, mas focadas em fornecer feedback imediato de rota.
16;Desempenho e Avaliação;Obsessão por Notas;Alunos focam excessivamente nas notas em vez de priorizar o desenvolvimento de competências reais.;Cultura institucional ou familiar altamente punitiva baseada exclusivamente em médias quantitativas rígidas.;Utilizar rubricas de competência qualitativas (ex: Iniciante, Proficiente, Mestre) e dar feedbacks focados no processo evolutivo.
17;Desempenho e Avaliação;Obsessão por Notas;Alunos focam excessivamente nas notas em vez de priorizar o desenvolvimento de competências reais.;Falta de oportunidades para aprender com os próprios erros antes do encerramento final da nota da disciplina.;Permitir o refino e a reapresentação de partes críticas de um projeto após o feedback inicial, estimulando o Growth Mindset.
18;Desempenho e Avaliação;Plágio e Desonestidade;Alunos entregam trabalhos contendo plágio, cópias diretas ou uso indevido não declarado de ferramentas de IA.;Prazos de entrega asfixiantes combinados com tarefas puramente burocráticas e teóricas que não estimulam reflexão autoral.;Substituir relatórios estáticos tradicionais por entregas incrementais baseadas em portfólio de evidências práticas e defesa oral.
